Date,Open,High,Low,Close,Adj Close,Volume,Ativo
2019-09-19,4.184751987457275,4.4911789894104,3.261789083480835,3.5634424686431885,3.5634424686431885,5701337,FIL-USD
2019-09-20,3.5465850830078125,4.487165927886963,3.529038667678833,3.6005585193634033,3.6005585193634033,2901872,FIL-USD
2019-09-21,3.5560808181762695,4.251885414123535,3.3668715953826904,3.5579493045806885,3.5579493045806885,2557226,FIL-USD
2019-09-22,3.644987106323242,4.108015537261963,3.2993292808532715,3.5888772010803223,3.5888772010803223,2932970,FIL-USD
2019-09-23,3.3615317344665527,4.079664707183838,3.269026041030884,3.4524548053741455,3.4524548053741455,3596614,FIL-USD
2019-09-24,3.4686410427093506,3.980121612548828,2.634319305419922,3.2105491161346436,3.2105491161346436,10890408,FIL-USD
2019-09-25,3.351874351501465,3.5651261806488037,2.29976224899292,3.3423643112182617,3.3423643112182617,6526134,FIL-USD
2019-09-26,3.141338348388672,3.5516138076782227,3.045609951019287,3.350955009460449,3.350955009460449,6283096,FIL-USD
2020-05-07,5.6053338050842285,5.630520343780518,5.0908331871032715,5.424998760223389,5.424998760223389,50690050,FIL-USD
2020-05-08,5.466514587402344,7.0769124031066895,4.563959121704102,4.87216854095459,4.87216854095459,5402322,FIL-USD
2020-05-16,4.735626220703125,5.604604244232178,4.6232709884643555,4.8217854499816895,4.8217854499816895,33319954,FIL-USD
2020-05-17,4.8217854499816895,7.058448791503906,4.758778095245361,5.768416881561279,5.768416881561279,37048320,FIL-USD
2020-05-18,5.763975620269775,5.993268966674805,4.843712329864502,5.435972213745117,5.435972213745117,44302245,FIL-USD
2020-05-19,5.435690879821777,7.101258277893066,4.936459541320801,5.6678996086120605,5.6678996086120605,34408291,FIL-USD
2020-05-20,5.6235198974609375,6.414953708648682,5.462564468383789,6.273683547973633,6.273683547973633,28504453,FIL-USD
2020-05-21,6.272049903869629,6.928011894226074,5.344922065734863,5.790850639343262,5.790850639343262,34135658,FIL-USD
2020-05-22,5.79297399520874,6.7499165534973145,4.9544806480407715,4.972341537475586,4.972341537475586,33408771,FIL-USD
2020-05-23,5.147596836090088,7.07918119430542,4.959391117095947,5.292827129364014,5.292827129364014,26861675,FIL-USD
2020-05-24,5.372287750244141,7.38284158706665,5.238211631774902,7.3579816818237305,7.3579816818237305,51124,FIL-USD
2020-05-25,7.354183197021484,7.400284767150879,5.236120223999023,5.2695512771606445,5.2695512771606445,31463555,FIL-USD
2020-05-26,5.863021373748779,7.778231143951416,5.099710941314697,5.563403606414795,5.563403606414795,25117105,FIL-USD
2020-05-27,5.563403606414795,8.477373123168945,5.075650215148926,7.724972248077393,7.724972248077393,108906,FIL-USD
