,BTC-USD,DOGE-USD,XMR-USD,LTC-USD,DASH-USD,XLM-USD,XRP-USD,USDT-USD,ETH-USD,ETC-USD,NEO-USD,MKR-USD,MIOTA-USD,EOS-USD,BCH-USD,BNB-USD,TRX-USD,LINK-USD,ADA-USD,XTZ-USD,FIL-USD,THETA-USD
2014-09-17,,,,,,,,,,,,,,,,,,,,,,
2014-09-18,-0.07192557601231164,0.11194028067840289,-0.11257385485164306,-0.07379982632873039,0.030623811778167642,0.12499996210439579,-0.04889788605813872,,,,,,,,,,,,,,,
2014-09-19,-0.06984264508683835,-0.07046974949814189,-0.07322466637420422,-0.0762949870232359,-0.11290030659979289,0.1203703435471315,-0.03758525749979902,,,,,,,,,,,,,,,
2014-09-20,0.03573491642945359,0.05415161392823764,-0.12593773514074424,-0.009550030453971292,-0.07245129320594246,-0.06714873194184945,-0.03439900859937339,,,,,,,,,,,,,,,
2014-09-21,-0.024658544547392802,-0.013698634232895412,0.0023128034013017995,-0.009452999538563378,-0.06688675334576799,-0.0409745187103141,-0.042330289295489876,,,,,,,,,,,,,,,
2014-09-22,0.008352101649706567,0.0347221822211532,-0.010093049953009525,-0.0008408259343196667,0.13161038466125707,0.1613741497631982,0.01903719176686569,,,,,,,,,,,,,,,
2014-09-23,0.08364741783421215,0.05033556325979438,0.16192952541697836,0.11885393633007091,0.011500969750659396,-0.01441709522051371,-0.009448114861650647,,,,,,,,,,,,,,,
2014-09-24,-0.028880814347395978,0.11182110200681761,0.027164193988867602,-0.01680794761730109,-0.017117078392837937,-0.018915536562157387,0.01192286718952551,,,,,,,,,,,,,,,
2014-09-25,-0.027483091679796234,0.07758621194327442,-0.07216971378889292,-0.032600597038837775,-0.1016331707406164,-0.10179948158372476,0.01156811134051594,,,,,,,,,,,,,,,
2014-09-26,-0.01736994378879475,0.2026666559047674,-0.007489094957661369,-0.017954865843105572,-0.037248480893247504,-0.12707501811200062,-0.022448088431852975,,,,,,,,,,,,,,,
2014-09-27,-0.012128327693262775,-0.16851440497641557,-0.057803829584652355,-0.002659199183644656,-0.01735373555766273,0.0698360643223026,0.019280757123255166,,,,,,,,,,,,,,,
2014-09-28,-0.055914572166871124,0.04533329007848419,-0.06616598723399802,-0.04264553276020422,0.021973142277032176,-0.027275507514419872,0.12263548243842504,,,,,,,,,,,,,,,
2014-09-29,-0.00454420890480145,0.010204085420783215,-0.057957283100495416,0.0032031847791669232,-0.017893734942213246,0.011972292712868926,-0.10923891535305319,,,,,,,,,,,,,,,
2014-09-30,0.030567238732558177,0.0075758154803313715,0.061418615385717024,0.05367350073499666,-0.052673884360778134,-0.00031133487273360405,-0.012964979600483928,,,,,,,,,,,,,,,
2014-10-01,-0.008603337970520819,-0.070175460351114,-0.01639109349058865,-0.010317993382273127,-0.08789561666075885,-0.10308313888481313,0.02325579063451122,,,,,,,,,,,,,,,
2014-10-02,-0.0222697222086099,-0.09973043263577808,-0.00866130182774072,-0.023912923399246888,-0.009698598256805635,-0.03715281758221978,0.025673400920875,,,,,,,,,,,,,,,
2014-10-03,-0.04148536263261304,-0.023952103113343615,-0.07420178877584804,-0.03413178309538323,-0.015381341867674148,-0.06202665604473223,0.030570368215396382,,,,,,,,,,,,,,,
2014-10-04,-0.08524332054467354,-0.07975458150966219,-0.11201417842878714,-0.056745647287000156,-0.06910199117106453,-0.08842757409449353,-0.016324844879980982,,,,,,,,,,,,,,,
2014-10-05,-0.025408487399317115,-0.09000000194023983,-0.10037046981698916,-0.06070284019719563,0.00805957222557585,0.0067482591956107285,-0.030763048340670784,,,,,,,,,,,,,,,
2014-10-06,0.02985554258083245,0.09157503846655923,0.11392797533575694,0.033313142534365126,-0.0028085210634848368,0.07834102461284531,-0.01231984795461849,,,,,,,,,,,,,,,
2014-10-07,0.018504665621736027,-0.0033557302610335293,0.025412843182711642,0.00948623212984967,-0.05437080399506744,-0.04933956241227788,0.007399584035511886,,,,,,,,,,,,,,,
