,pesos,cryptos,indicador
Conservador,"[0.15, 0.15, 0.15, 0.4, 0.15]","['BTC-USD', 'XMR-USD', 'LTC-USD', 'USDT-USD', 'BNB-USD']",risco_min
Moderado,"[0.25, 0.05, 0.2, 0.1, 0.4]","['DASH-USD', 'XRP-USD', 'LINK-USD', 'FIL-USD', 'THETA-USD']",roys_safety_max
Dinamico,"[0.25, 0.05, 0.2, 0.1, 0.4]","['DASH-USD', 'XRP-USD', 'LINK-USD', 'FIL-USD', 'THETA-USD']",sharpe_max
Arrojado,"[0.1, 0.4, 0.05, 0.2, 0.25]","['DASH-USD', 'MKR-USD', 'EOS-USD', 'BNB-USD', 'FIL-USD']",sortino_max
Agressivo,"[0.1, 0.4, 0.05, 0.2, 0.25]","['DASH-USD', 'MKR-USD', 'EOS-USD', 'BNB-USD', 'FIL-USD']",retorno_max
